alpha,learning_rate,max_depth,min_split_loss,n_estimators,mean_test_score,mean_train_score
0,0.01,3,0,10,-1.2414865620561029,-1.197166449359989
0,0.01,3,0,30,-1.0424605126718123,-0.99734498198626
0,0.01,3,0,50,-0.9033620462364498,-0.8561789734613511
0,0.01,3,0,70,-0.8048260983721642,-0.753602108214462
0,0.01,3,0,100,-0.7071402874493881,-0.6444609153962213
0,0.01,3,1,10,-1.2414865620561029,-1.197166449359989
0,0.01,3,1,30,-1.0424605126718123,-0.99734498198626
0,0.01,3,1,50,-0.9033620462364498,-0.8561789734613511
0,0.01,3,1,70,-0.8048260983721642,-0.753602108214462
0,0.01,3,1,100,-0.7071402874493881,-0.6444609153962213
0,0.01,3,5,10,-1.2414865620561029,-1.197166449359989
0,0.01,3,5,30,-1.0424605126718123,-0.99734498198626
0,0.01,3,5,50,-0.9033620462364498,-0.8561789734613511
0,0.01,3,5,70,-0.8048260983721642,-0.753602108214462
0,0.01,3,5,100,-0.7071402874493881,-0.6444609153962213
0,0.01,3,10,10,-1.2414865620561029,-1.197166449359989
0,0.01,3,10,30,-1.0424605126718123,-0.99734498198626
0,0.01,3,10,50,-0.9033620462364498,-0.8561789734613511
0,0.01,3,10,70,-0.8048260983721642,-0.753602108214462
0,0.01,3,10,100,-0.7071402874493881,-0.6444609153962213
0,0.01,5,0,10,-1.225637696673497,-1.1713454591203258
0,0.01,5,0,30,-1.0056651282951639,-0.9334448759138209
0,0.01,5,0,50,-0.8547588932327767,-0.7648654330032436
0,0.01,5,0,70,-0.748189869028577,-0.6441894799807673
0,0.01,5,0,100,-0.6434190594853982,-0.5218040613993761
0,0.01,5,1,10,-1.225637696673497,-1.1713454591203258
0,0.01,5,1,30,-1.0056651282951639,-0.9334448759138209
0,0.01,5,1,50,-0.8547588932327767,-0.7648654330032436
0,0.01,5,1,70,-0.7481847475449455,-0.6441938662216347
0,0.01,5,1,100,-0.6437348304552933,-0.5218465265364767
0,0.01,5,5,10,-1.2256525602590134,-1.1713500649731683
0,0.01,5,5,30,-1.00568687959908,-0.9334818565299816
0,0.01,5,5,50,-0.8549759584585228,-0.764961365610106
0,0.01,5,5,70,-0.7484045456901076,-0.6443136074947784
0,0.01,5,5,100,-0.6443507218204483,-0.5222374090301691
0,0.01,5,10,10,-1.2257973172343724,-1.1714484521046988
0,0.01,5,10,30,-1.005816413778993,-0.9339180821808586
0,0.01,5,10,50,-0.8559460904298091,-0.7654376613291985
0,0.01,5,10,70,-0.7495825579587702,-0.6451212613628695
0,0.01,5,10,100,-0.6450815459150959,-0.5236918791108689
0,0.01,7,0,10,-1.2150651760272162,-1.1516120742874574
0,0.01,7,0,30,-0.981891126432313,-0.8850459021564696
0,0.01,7,0,50,-0.8245689892263531,-0.6988911215912621
0,0.01,7,0,70,-0.7129361097609097,-0.5666776045764769
0,0.01,7,0,100,-0.6045356525663435,-0.4333604588903038
0,0.01,7,1,10,-1.2149494915647943,-1.151666025701211
0,0.01,7,1,30,-0.9821403671426673,-0.8850401939640691
0,0.01,7,1,50,-0.8247404123507007,-0.6992353062849777
0,0.01,7,1,70,-0.7134909363732918,-0.5671048910406988
0,0.01,7,1,100,-0.6049192430016557,-0.43374101274037963
0,0.01,7,5,10,-1.2149625630554337,-1.1524054885048862
0,0.01,7,5,30,-0.9811073156599432,-0.8873609453304102
0,0.01,7,5,50,-0.8231791916881652,-0.7032281868568762
0,0.01,7,5,70,-0.7113642734898346,-0.5728750219036921
0,0.01,7,5,100,-0.6029109494725265,-0.4425432098509233
0,0.01,7,10,10,-1.2153623711514645,-1.1540642991875594
0,0.01,7,10,30,-0.980704160096699,-0.8923191378894684
0,0.01,7,10,50,-0.8229712250905367,-0.7111799226661271
0,0.01,7,10,70,-0.7120501744716747,-0.5839623969736704
0,0.01,7,10,100,-0.6065756001144769,-0.4574811197230361
0,0.01,10,0,10,-1.2080445528793051,-1.1292734712020052
0,0.01,10,0,30,-0.9655021808708648,-0.8279532546243684
0,0.01,10,0,50,-0.8027754618241195,-0.6186178841448985
0,0.01,10,0,70,-0.6922361257875791,-0.47166295617465737
0,0.01,10,0,100,-0.5867516143654731,-0.3263293720569641
0,0.01,10,1,10,-1.2069255391253046,-1.1301408527635652
0,0.01,10,1,30,-0.9632112617198182,-0.8309991071411023
0,0.01,10,1,50,-0.8001388707481404,-0.6236832982019175
0,0.01,10,1,70,-0.6891266734686654,-0.4790226874186584
0,0.01,10,1,100,-0.5830516027448883,-0.33705222129714535
0,0.01,10,5,10,-1.2064587139455312,-1.1368650625587857
0,0.01,10,5,30,-0.9630802022759463,-0.8503736001354373
0,0.01,10,5,50,-0.7979855977105186,-0.654337957872856
0,0.01,10,5,70,-0.6850692663742126,-0.5192875313460948
0,0.01,10,5,100,-0.5796625220602974,-0.3892707793188373
0,0.01,10,10,10,-1.209034761807447,-1.1435429075855952
0,0.01,10,10,30,-0.9649210160839651,-0.8687811731890722
0,0.01,10,10,50,-0.8028532952548865,-0.6821440537436979
0,0.01,10,10,70,-0.692415278379135,-0.5529857784505844
0,0.01,10,10,100,-0.5884295106454769,-0.4269408735241935
0,0.01,30,0,10,-1.2102931548609548,-1.1102918302002176
0,0.01,30,0,30,-0.9760535991988621,-0.7807150937770162
0,0.01,30,0,50,-0.8174633092181844,-0.5520832337138926
0,0.01,30,0,70,-0.7104081741130994,-0.39227923168276946
0,0.01,30,0,100,-0.6130135756703522,-0.23738052339477678
0,0.01,30,1,10,-1.2039065774727455,-1.1175795044137804
0,0.01,30,1,30,-0.958222804321365,-0.8012900618318325
0,0.01,30,1,50,-0.7934755146865073,-0.5838171521858275
0,0.01,30,1,70,-0.6810526436463844,-0.4336088635054266
0,0.01,30,1,100,-0.5765466451068461,-0.2904998672022586
0,0.01,30,5,10,-1.2055938713297136,-1.1337424769527857
0,0.01,30,5,30,-0.9619565146723742,-0.8440509567268497
0,0.01,30,5,50,-0.795936864451131,-0.646647922412573
0,0.01,30,5,70,-0.6840482519619124,-0.5113886218724554
0,0.01,30,5,100,-0.5786482490469629,-0.3819494407953568
0,0.01,30,10,10,-1.209047888446742,-1.142757559006823
